,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Domain,Standard Description
146,2023,21,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.C.7,SR,AF,AI.A-REI.C.7,Identify the solution of a system of a linear equation and a quadratic equation.,1,58,65,-7,Algebra,Reasoning with Equations and Inequalities,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = –3x and the circle x2 + y2 = 3."
147,2023,22,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.B.7,SR,GE,GEO.G-GPE.B.7,Calculate the area of a trapezoid graphed on a coordinate plane.,1,82,76,6,Geometry,Expressing Geometric Properties with Equations,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles (e.g., using the distance formula)."
148,2023,23,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-BF.A.2,SR,AF,AI.F-BF.A.2,Identify a function that represents a geometric sequence partially displayed in a table.,1,33,44,-11,Functions,Building Functions,"Write arithmetic and geometric sequences both recursively and with an explicit formula them to model
situations, and translate between the two forms."
149,2023,24,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-CED.A.1,SR,AF,AI.A-CED.A.1,Create two one-variable equations and use them to solve a real-world problem.,1,83,84,-1,Algebra,Creating Equations,"Create equations and inequalities in one variable and use them to solve problems. (Include equations arising from linear, quadratic, and exponential functions with integer exponents.)"
150,2023,25,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.A.1,SR,AF,AI.F-IF.A.1,Identify the domain and range of a linear function from its graph.,1,47,41,6,Functions,Interpreting Functions,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output (range) of f corresponding to the input x. The graph of f is the graph of the equation y = f(x)."
151,2023,26,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-SRT.B.5,SR,GE,GEO.G-SRT.B.5,Identify a proportion that can be used to find an unknown side length in a pair of similar triangles.,1,43,51,-8,Geometry,"Similarity, Right Triangles, and Trigonometry",Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.
152,2023,27,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.S-CP.A.4,CR,SP,GEO.S-CP.A.4,"Complete a two-way frequency table of data, use the data in the table to compute conditional probabilities, and determine whether the variables of interest are independent.",4,43,44,-1,Geometry,Conditional Probability and the Rules of Probability,"Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities. For example, collect data from a random sample of students in your school on their favorite subject among math, science, and English. Estimate the probability that a randomly selected student from your school will favor science given that the student is in tenth grade. Do the same for other subjects and compare the results."
153,2023,28,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.A.5,SR,GE,GEO.G-CO.A.5,Identify the graph of a triangle on a coordinate plane after a transformation.,1,67,65,2,Geometry,Congruence,"Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another."
154,2023,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-LE.B.5,SR,AF,AI.F-LE.B.5,Compare the parameters of three linear functions that represent a real-world context.,1,22,38,-16,Functions,Linear Quadratic and Exponential Models,Interpret the parameters in a linear or exponential function (of the form f(x) = bx + k) in terms of a context.
155,2023,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.D.13,SR,GE,GEO.G-CO.D.13,Analyze the construction of a square inscribed in a circle.,1,60,60,0,Geometry,Congruence,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle."
